                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.78189,                0.66905,                 1.0249,                0.89818,                0.87917,                0.91019,                0.70262,                0.69287,                0.58418,                0.92301,              0.0010811,              0.0010811,              0.0010811
                     73,                0.79109,                 0.6614,                 1.0223,                0.92524,                0.88939,                0.92084,                0.70604,                0.67936,                0.57666,                0.91399,              0.0010729,              0.0010729,              0.0010729
                     74,                0.77844,                 0.6781,                 1.0185,                0.94117,                0.86388,                0.92083,                0.69323,                0.69239,                0.58442,                0.92479,              0.0010646,              0.0010646,              0.0010646
                     75,                0.78865,                 0.6757,                 1.0355,                0.92072,                0.86274,                0.91434,                 0.6912,                0.71313,                0.60463,                 0.9351,              0.0010564,              0.0010564,              0.0010564
                     76,                0.81246,                0.68969,                 1.0391,                0.92155,                0.85751,                0.91264,                 0.7019,                0.67847,                0.58864,                0.91892,              0.0010481,              0.0010481,              0.0010481
                     77,                0.79557,                 0.6922,                 1.0508,                0.92473,                0.86426,                0.91731,                0.66936,                0.76074,                0.61304,                0.94741,              0.0010399,              0.0010399,              0.0010399
                     78,                0.76832,                0.65857,                 1.0182,                0.89183,                0.87252,                 0.9221,                0.68516,                0.73801,                0.60425,                 0.9362,              0.0010316,              0.0010316,              0.0010316
                     79,                0.77138,                0.67407,                 1.0314,                0.91945,                0.86528,                0.91751,                0.70256,                0.68707,                0.57188,                0.91666,              0.0010234,              0.0010234,              0.0010234
                     80,                0.79705,                 0.6572,                 1.0199,                0.90513,                0.87927,                0.91503,                0.68668,                0.73953,                0.60595,                0.93771,              0.0010151,              0.0010151,              0.0010151
                     81,                0.77521,                0.62116,                 1.0261,                0.92697,                0.85185,                0.92006,                0.70785,                0.70363,                0.59757,                0.92385,              0.0010069,              0.0010069,              0.0010069
